run_id,method,track,data_seed,model_seed,noise_level,forecast_context_steps,forecast_origin_time,forecast_horizon_lt,full_forecast_horizon_lt,full_horizon_vpt_censoring_fraction,full_horizon_restricted_mean_vpt_lt,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,mean_normalized_squared_error,inference_wall_time_seconds,inference_seconds_per_trajectory,vector_field_evaluations,surrogate_evaluations,integration_internal_step,training_vector_field_evaluations,training_wall_time_seconds,parameter_count,optimizer_updates,peak_gpu_memory_bytes,inference_peak_gpu_memory_bytes,parameter_relative_error,coefficient_relative_error,median_nrmse_auc_0_1LT,median_nrmse_auc_0_2LT,median_nrmse_auc_0_5LT,median_pinn_in_domain_auc_0_2LT,median_pinn_extrapolation_auc_2_5LT,stability_fraction,rq_mmd,covariance_relative_error,wasserstein_x,wasserstein_y,wasserstein_z,lyapunov_spectrum,lyapunov_spectrum_relative_error
sindy_weak_weighted__d3__m0__n0,sindy_weak_weighted,state_only_dynamics,3,0,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.867593473494441,6.867593473494441,6.782244520978757,0.0,1.091876042962192,4.450594009831548,0.0347702657018089,9839616,0,0.001,0,1.223407745361328,30,1,0,0,nan,0.0004553693271098,0.0003878416085362,0.0012456071801946,0.0125961267618873,0.0012456071801946,0.0187741010729711,1.0,0.0008636316384498,0.0072260357939201,0.0818907761635682,0.0903427872124371,0.1406919281856792,"[0.9236495463114053, 0.03793485205853522, -14.62935890871788]",0.0041354091490912
sindy_weak_weighted__d3__m1__n0,sindy_weak_weighted,state_only_dynamics,3,1,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.867593473494441,6.867593473494441,6.782244520978757,0.0,1.091876042962192,4.027476256713271,0.0314646582555724,9839616,0,0.001,0,1.0815710294991732,30,1,0,0,nan,0.0004553693271098,0.0003878416085362,0.0012456071801946,0.0125961267618873,0.0012456071801946,0.0187741010729711,1.0,0.0008636316384498,0.0072260357939201,0.0818907761635682,0.0903427872124371,0.1406919281856792,"[0.9236495463114053, 0.03793485205853522, -14.62935890871788]",0.0041354091490912
sindy_weak_weighted__d3__m2__n0,sindy_weak_weighted,state_only_dynamics,3,2,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.867593473494441,6.867593473494441,6.782244520978757,0.0,1.091876042962192,4.062812272459269,0.031740720878588,9839616,0,0.001,0,1.235455147922039,30,1,0,0,nan,0.0004553693271098,0.0003878416085362,0.0012456071801946,0.0125961267618873,0.0012456071801946,0.0187741010729711,1.0,0.0008636316384498,0.0072260357939201,0.0818907761635682,0.0903427872124371,0.1406919281856792,"[0.9236495463114053, 0.03793485205853522, -14.62935890871788]",0.0041354091490912
panda_zero_shot__d4__m0__n0,panda_zero_shot,pretrained_sequence_forecasting,4,0,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,2.161697717061116,2.161697717061116,2.0506584443902103,0.0,1.1638712651137657,2.4474056903272867,0.0191203569556819,0,120,nan,0,0.0,21354624,0,0,128069632,nan,nan,0.0555804661690512,0.1494709978694243,0.6433858399705314,0.1494709978694243,0.9454306191621644,1.0,0.0621820380318514,0.7199260811159487,3.1187702291462585,3.4051112535369072,4.038467099175677,nan,nan
panda_zero_shot__d4__m1__n0,panda_zero_shot,pretrained_sequence_forecasting,4,1,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,2.1397895829287457,2.1397895829287457,2.018688268197044,0.0,1.1690787691934987,2.6083110440522432,0.0203774300316581,0,120,nan,0,0.0,21354624,0,0,128069632,nan,nan,0.0553442488305169,0.1485042990051206,0.6486285962819609,0.1485042990051206,0.9451671304845536,1.0,0.062498987856552,0.7105464088527409,3.108503870997862,3.3774070897487527,3.868413828933479,nan,nan
panda_zero_shot__d4__m2__n0,panda_zero_shot,pretrained_sequence_forecasting,4,2,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,2.181750439182276,2.181750439182276,2.04152410833502,0.0,1.1981482711688771,2.5287179723382,0.0197556091588921,0,120,nan,0,0.0,21354624,0,0,128069632,nan,nan,0.0557578518784861,0.1441489135006946,0.650792032788576,0.1441489135006946,0.9587202052281812,1.0,0.0515437884847131,0.6897978533358653,3.044894192999528,3.2251171631895077,3.6504254880710256,nan,nan
sindy_weak__d4__m0__n0,sindy_weak,state_only_dynamics,4,0,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,6.853392435408638,6.853392435408638,6.814214697171923,0.0,1.020959840537677,4.2944257985800505,0.0335502015514066,9591296,0,0.001,0,1.2274009846150875,30,1,0,0,nan,0.0004171512481919,0.0003515723500852,0.0012138671429603,0.011765327823001,0.0012138671429603,0.0185353426077972,1.0,0.0002769433445377,0.014053432410677,0.3887429860888788,0.4125781482598395,0.0987554378773389,"[0.8161817747678517, 0.03976835435568749, -14.523543807596125]",0.0081869266507324
sindy_weak__d4__m1__n0,sindy_weak,state_only_dynamics,4,1,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,6.853392435408638,6.853392435408638,6.814214697171923,0.0,1.020959840537677,4.51099762879312,0.0352421689749462,9591296,0,0.001,0,1.2230228874832392,30,1,0,0,nan,0.0004171512481919,0.0003515723500852,0.0012138671429603,0.011765327823001,0.0012138671429603,0.0185353426077972,1.0,0.0002769433445377,0.014053432410677,0.3887429860888788,0.4125781482598395,0.0987554378773389,"[0.8161817747678517, 0.03976835435568749, -14.523543807596125]",0.0081869266507324
sindy_weak__d4__m2__n0,sindy_weak,state_only_dynamics,4,2,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,6.853392435408638,6.853392435408638,6.814214697171923,0.0,1.020959840537677,4.526239516213536,0.0353612462204182,9591296,0,0.001,0,1.2413732763379812,30,1,0,0,nan,0.0004171512481919,0.0003515723500852,0.0012138671429603,0.011765327823001,0.0012138671429603,0.0185353426077972,1.0,0.0002769433445377,0.014053432410677,0.3887429860888788,0.4125781482598395,0.0987554378773389,"[0.8161817747678517, 0.03976835435568749, -14.523543807596125]",0.0081869266507324
sindy_weak_weighted__d4__m0__n0,sindy_weak_weighted,state_only_dynamics,4,0,0.0,512,5.11,16.478342243563205,16.478342243563205,0.0,6.855747381422866,6.855747381422866,6.809647529144328,0.0,1.0210173148691142,4.404106296598911,0.0344070804421789,9591296,0,0.001,0,1.2199423015117643,30,1,0,0,nan,0.0004299864650638,0.0003644367059762,0.0012610948751159,0.0119618112062532,0.0012610948751159,0.0189418379244696,1.0,0.000340798390825,0.0163150511548337,0.4605841078589142,0.4807116570136057,0.0344393173649553,"[0.9167128486529882, -0.012178057761539546, -14.572278401761801]",0.0011895310658446
