method,shot_count,adaptation,data_seed,trajectory_count,observed_training_state_count,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,forecast_instability_fraction,mean_restricted_nrmse_auc_native,mean_restricted_nrmse_auc_0_1LT,mean_restricted_nrmse_auc_0_2LT,mean_restricted_nrmse_auc_0_5LT,mean_coordinate_point_crps_native,adaptation_wall_time_seconds,forecast_wall_time_seconds,optimizer_updates,vector_field_evaluations,surrogate_evaluations,parameter_count,trainable_parameter_count,inference_peak_gpu_memory_bytes,probabilistic,forecast_sample_count
panda,16,prediction_head_only,2,128,10240,2.3613247180312573,2.279016845769966,0.0078125,0.0,0.0958947949551751,0.0786775964177455,0.1857453655027617,0.6035850327566189,0.0828916829538313,1.006028512492776,0.7629557680338621,50,0,40,21354624,65536,127336960,False,1
panda,4,prediction_head_only,2,128,2560,2.3181781935345454,2.233345165494015,0.015625,0.0,0.096024673715366,0.0788055903629636,0.1851906338793534,0.6091953151124736,0.0831154490849169,0.3283300381153822,0.6587505042552948,1,0,40,21354624,65536,127336960,False,1
sindy_weak,1,fit_from_scratch,2,128,640,4.930932173942869,5.0,0.921875,0.0,0.0008695432105154,0.00071304097598,0.0023710238509868,0.0165891387790166,0.0007604557590734,0.0035803038626909,1.151857677847147,1,2856960,0,30,30,0,False,1
sindy_weak,16,fit_from_scratch,2,128,10240,4.94620364203514,5.0,0.921875,0.0,0.0011683935991305,0.0007972861660987,0.0029167725417705,0.0166263790257258,0.0010218864664745,0.0500174649059772,1.1702418252825737,1,2856960,0,30,30,0,False,1
sindy_weak,4,fit_from_scratch,2,128,2560,4.939995147997628,5.0,0.921875,0.0,0.0010887362277176,0.0007921480097197,0.0028609176643483,0.0150779675650055,0.0009513570566883,0.0123311653733253,1.1644261926412582,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,1,fit_from_scratch,2,128,640,3.9206678946083833,3.973436184007757,0.234375,0.0,0.0107927524918234,0.0074139372814366,0.0304033835475679,0.2335132764355095,0.0094413701575186,0.0037251040339469,1.1583205442875624,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,16,fit_from_scratch,2,128,10240,4.904330538254177,5.0,0.90625,0.0,0.0012527982504703,0.0008121053145103,0.0044064891415304,0.0237741562959579,0.0010955649864597,0.0466593969613313,1.165301190689206,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,4,fit_from_scratch,2,128,2560,4.90801387651245,5.0,0.8984375,0.0,0.0014082256614833,0.0009732159887892,0.0042232271642282,0.022904592389991,0.001232521679929,0.0124071557074785,1.1991646010428667,1,2856960,0,30,30,0,False,1
panda,0,zero_shot,3,128,0,2.2299472752374667,2.1145987967765416,0.0078125,0.0,0.08285090197063,0.0720244715892607,0.1925023522941741,0.6016065785355924,0.0719790631665397,0.0,1.4611294846981764,0,0,40,21354624,0,127336960,False,1
panda,1,prediction_head_only,3,128,640,2.23016136123876,2.1145987967765416,0.0078125,0.0,0.0828458928872778,0.0720182448553724,0.1924898750635334,0.6016329925573575,0.0719747593332719,0.3090274389833212,0.7385246120393276,1,0,40,21354624,65536,127336960,False,1
