method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
lorenz_ad,wasserstein_x,0.18746098336202052,0.10509409889882998,0.28446031025985075,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,wasserstein_x,0.1684178526511002,0.1172657480530851,0.23174051669352747,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,wasserstein_y,0.1899505073116061,0.10892891499413188,0.2850156539255372,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,wasserstein_y,0.1745191568955556,0.12231041409036363,0.2381847213837345,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,wasserstein_z,0.06836508245871259,0.04347091509650493,0.10113540756178531,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,wasserstein_z,0.07500344189836229,0.054343025306244436,0.09778184475235731,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,covariance_relative_error,0.009135993375955038,0.0066571062321392855,0.012077341555440518,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,covariance_relative_error,0.008345911574224232,0.00662801293014355,0.010270893803118858,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,lyapunov_spectrum_relative_error,0.006817695809426287,0.004840344026654472,0.009079345547836404,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,lyapunov_spectrum_relative_error,0.007095930398280987,0.003747784015566575,0.011140945358695215,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,parameter_relative_error,0.0017936282891207397,0.0013052309220339452,0.0023698854489166664,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,parameter_relative_error,0.00150387733134614,0.0010256235329102253,0.0020159190422352636,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,training_wall_time_seconds,713.1739308555921,698.5645709858152,730.9860079420855,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,training_wall_time_seconds,713.6015682307383,701.496112994502,725.4677691598608,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,inference_seconds_per_trajectory,0.0084696245088707,0.00794026938836997,0.00905576322855866,10000,2026,known_form_hidden_parameters,0.01
